Temp,scan1(subtrac baseline),scan2(subtrac baseline),scan3(subtrac baseline)
77.12914,0.00729,0.02256,0.05287
77.33834,0.00694,0.02127,0.05005
77.54565,0.00666,0.02019,0.04774
77.75328,0.00646,0.01938,0.04597
77.96178,0.00637,0.0188,0.04465
78.16883,0.00631,0.01848,0.04377
78.37797,0.00633,0.01835,0.04328
78.58768,0.0064,0.01841,0.04316
78.79484,0.00651,0.01865,0.04337
78.99974,0.00664,0.01898,0.04389
79.20986,0.00685,0.0194,0.04463
79.41957,0.00707,0.01989,0.04552
79.6298,0.00726,0.02043,0.04648
79.83864,0.00745,0.02103,0.04745
80.0467,0.00768,0.02163,0.04836
80.25637,0.00788,0.02212,0.04916
80.46526,0.00803,0.02255,0.04974
80.67299,0.00811,0.023,0.05009
80.87928,0.00815,0.02324,0.05035
81.08781,0.00809,0.02316,0.05038
81.29209,0.00803,0.02301,0.04986
81.49773,0.00791,0.02268,0.04894
81.70634,0.00765,0.02216,0.04752
81.91789,0.00726,0.0214,0.04569
82.12597,0.00683,0.02043,0.04347
82.33327,0.00635,0.01925,0.04091
82.5405,0.00585,0.01791,0.03791
82.75048,0.0053,0.01638,0.0346
82.96015,0.00468,0.01476,0.0311
83.16882,0.00406,0.01302,0.02747
83.37724,0.00344,0.01125,0.02382
83.58859,0.00277,0.00953,0.02026
83.79357,0.00224,0.00788,0.01687
84.00122,0.00172,0.00634,0.0137
84.21013,0.00121,0.00495,0.01089
84.42028,8.27E-04,0.00369,0.00844
84.62897,5.15E-04,0.00267,0.00637
84.83822,2.73E-04,0.00178,0.00464
85.04565,1.02E-04,0.00106,0.00322
85.25093,2.20E-05,5.35E-04,0.00209
85.45597,-2.77E-05,1.88E-04,0.00128
85.66381,-6.78E-05,-7.03E-05,6.28E-04
85.87452,-1.19E-04,-2.39E-04,1.74E-04
86.08376,-1.49E-04,-3.47E-04,-1.61E-04
86.29319,-1.59E-04,-3.54E-04,-3.20E-04
86.50208,-1.40E-04,-3.63E-04,-4.80E-04
86.70837,-1.20E-04,-3.21E-04,-6.08E-04
86.91472,-1.61E-04,-3.10E-04,-6.49E-04
87.12363,-1.63E-04,-2.73E-04,-6.38E-04
87.3319,-9.62E-05,-2.07E-04,-6.17E-04
87.54173,-2.02E-05,-1.45E-04,-6.31E-04
87.75025,-4.49E-05,-7.47E-05,-6.55E-04
87.9569,-2.03E-05,-3.73E-05,-6.78E-04
88.16514,-5.73E-05,-2.47E-05,-7.25E-04
88.37398,-5.83E-06,-1.66E-05,-7.35E-04
88.58225,5.43E-05,4.70E-05,-7.35E-04
88.79275,4.20E-05,1.74E-04,-7.00E-04
89.00055,4.88E-05,2.57E-04,-6.92E-04
89.2072,1.04E-04,2.75E-04,-6.53E-04
89.41147,1.08E-04,3.39E-04,-6.29E-04
89.62032,1.29E-04,3.32E-04,-5.96E-04
89.83166,2.61E-05,3.47E-04,-5.67E-04
90.03993,-7.95E-06,3.35E-04,-4.73E-04
90.24845,1.54E-05,3.16E-04,-4.30E-04
90.45588,1.68E-05,3.49E-04,-3.85E-04
90.66267,8.61E-05,3.64E-04,-3.79E-04
90.8704,9.30E-05,3.99E-04,-3.84E-04
91.08005,1.27E-04,3.82E-04,-3.73E-04
91.29155,9.88E-05,3.53E-04,-3.45E-04
91.49959,7.03E-05,3.47E-04,-3.00E-04
91.70658,1.11E-04,3.02E-04,-2.71E-04
91.91425,5.97E-05,2.84E-04,-2.24E-04
92.12265,9.72E-05,1.63E-04,-1.16E-04
92.33051,9.41E-05,1.81E-04,-1.67E-05
92.53842,7.02E-05,1.07E-04,-4.59E-05
92.74775,8.51E-05,3.69E-05,-6.36E-06
92.95709,2.95E-05,-2.71E-06,6.48E-05
93.16,4.67E-05,-1.98E-05,9.97E-05
93.36346,3.36E-05,4.27E-05,1.25E-04
93.5717,4.83E-05,7.07E-05,1.63E-04
93.78064,3.06E-06,1.38E-04,2.01E-04
93.98789,1.90E-05,8.71E-05,2.23E-04
94.19671,-4.52E-05,8.46E-05,2.74E-04
94.40445,1.90E-06,3.31E-05,3.28E-04
94.61195,-3.00E-05,-1.82E-05,3.83E-04
94.82289,2.75E-05,-7.26E-05,4.14E-04
95.03312,-4.37E-05,-5.64E-05,4.77E-04
95.24118,-1.32E-05,-1.78E-04,5.15E-04
95.44906,-7.18E-05,-2.10E-04,4.84E-04
95.6579,-2.00E-05,-2.12E-04,4.73E-04
95.86551,3.02E-06,-2.24E-04,4.44E-04
96.07353,-4.35E-05,-2.16E-04,4.46E-04
96.28226,-3.96E-05,-2.38E-04,4.37E-04
96.48867,-8.41E-05,-2.28E-04,4.23E-04
96.69709,-9.89E-05,-1.90E-04,3.66E-04
96.90526,-1.23E-04,-1.52E-04,3.21E-04
97.11204,-9.62E-05,-1.53E-04,3.18E-04
97.31561,-1.28E-04,-1.00E-04,2.82E-04
97.52499,-1.31E-04,-8.35E-05,2.75E-04
97.73371,-1.04E-04,-1.26E-04,2.21E-04
97.94144,-1.25E-04,-4.74E-05,1.58E-04
98.14937,-9.72E-05,-9.05E-06,1.25E-04
98.3577,-9.88E-05,6.89E-05,9.23E-05
98.56648,-9.03E-05,1.16E-04,7.86E-05
98.77449,-1.41E-04,2.15E-04,1.06E-04
98.98382,-6.28E-05,1.72E-04,5.21E-05
99.19332,-5.42E-05,2.09E-04,-2.61E-06
99.40244,1.46E-05,1.96E-04,-1.66E-05
99.60998,-5.93E-06,2.85E-04,-3.78E-05
