Temp,RAWCP(Data1),RAWCP(Data3),RAWCP(Data5)
79.40052,-0.40867,-0.44113,-0.47121
79.60997,-0.40799,-0.43894,-0.46758
79.81812,-0.4073,-0.4366,-0.4636
80.02687,-0.40657,-0.4341,-0.45943
80.23487,-0.40573,-0.43151,-0.45501
80.44252,-0.40486,-0.42877,-0.45036
80.65109,-0.40412,-0.42617,-0.44593
80.85925,-0.40337,-0.42372,-0.44171
81.06793,-0.40263,-0.4214,-0.4378
81.27449,-0.40185,-0.41929,-0.43437
81.47898,-0.40113,-0.41745,-0.43153
81.68617,-0.40045,-0.416,-0.42947
81.89429,-0.39978,-0.41499,-0.4283
82.10315,-0.39919,-0.4145,-0.42811
82.31191,-0.39867,-0.41451,-0.429
82.52113,-0.39812,-0.41509,-0.43106
82.73103,-0.39768,-0.41625,-0.43428
82.93991,-0.3973,-0.41802,-0.43869
83.14953,-0.39696,-0.42033,-0.44416
83.35824,-0.39666,-0.42315,-0.45058
83.56632,-0.39642,-0.42642,-0.45785
83.7764,-0.3962,-0.43003,-0.46566
83.98702,-0.39605,-0.43385,-0.47388
84.19531,-0.39594,-0.43779,-0.48228
84.40153,-0.39581,-0.44168,-0.49056
84.61242,-0.39569,-0.44541,-0.49844
84.82215,-0.3956,-0.44886,-0.50573
85.02977,-0.39547,-0.45196,-0.51228
85.23426,-0.39529,-0.45461,-0.51789
85.43898,-0.39505,-0.45683,-0.52263
85.64712,-0.39481,-0.45857,-0.52646
85.85484,-0.39455,-0.45983,-0.52942
86.06426,-0.39424,-0.46068,-0.53162
86.27345,-0.39386,-0.46118,-0.53312
86.4818,-0.39346,-0.4614,-0.53401
86.69017,-0.39304,-0.46137,-0.53439
86.89825,-0.39255,-0.4611,-0.53443
87.10703,-0.39208,-0.46071,-0.53422
87.31773,-0.39155,-0.46021,-0.53384
87.52332,-0.39104,-0.45967,-0.5333
87.73062,-0.39058,-0.45909,-0.53266
87.93889,-0.39007,-0.45845,-0.53191
88.14837,-0.38955,-0.45777,-0.53112
88.35864,-0.38894,-0.45706,-0.53027
88.56929,-0.38835,-0.45633,-0.52936
88.77919,-0.38781,-0.45565,-0.52845
88.98619,-0.38723,-0.45488,-0.52753
89.19064,-0.38667,-0.45416,-0.52661
89.39381,-0.38613,-0.45342,-0.52569
89.60357,-0.38558,-0.45263,-0.52472
89.81131,-0.38503,-0.4519,-0.52376
90.02042,-0.38445,-0.45114,-0.52276
90.22831,-0.38388,-0.45038,-0.52177
90.43644,-0.38333,-0.44961,-0.52079
90.64408,-0.38277,-0.4488,-0.51978
90.85313,-0.38221,-0.44806,-0.51882
91.06076,-0.38165,-0.44728,-0.51782
91.27101,-0.3811,-0.44647,-0.51678
91.47991,-0.38049,-0.44566,-0.51575
91.6891,-0.37993,-0.4449,-0.51474
91.89736,-0.3794,-0.44414,-0.51372
92.1055,-0.37881,-0.44333,-0.51266
92.31264,-0.37823,-0.44253,-0.51167
92.52173,-0.37766,-0.44176,-0.51065
92.72833,-0.37719,-0.441,-0.50967
92.93705,-0.37667,-0.44024,-0.50869
93.14128,-0.37616,-0.43948,-0.50767
93.34377,-0.37565,-0.43867,-0.50667
93.55157,-0.37507,-0.43789,-0.50565
93.75928,-0.37456,-0.43714,-0.50466
93.9685,-0.37406,-0.43633,-0.50364
94.17773,-0.37362,-0.4356,-0.50266
94.38601,-0.37311,-0.43483,-0.50161
94.59574,-0.37266,-0.43404,-0.50057
94.80596,-0.37217,-0.4332,-0.49947
95.01399,-0.37171,-0.4324,-0.4984
95.22174,-0.37112,-0.43156,-0.49726
95.43167,-0.37063,-0.43074,-0.49616
95.63956,-0.37012,-0.42985,-0.49509
95.8483,-0.36962,-0.42903,-0.49394
96.05719,-0.36914,-0.42814,-0.49277
96.26277,-0.36866,-0.42726,-0.49156
96.47131,-0.36818,-0.42641,-0.49037
96.68007,-0.36775,-0.42558,-0.48918
96.88874,-0.36727,-0.42468,-0.48801
97.09672,-0.36684,-0.42387,-0.48682
97.29988,-0.36634,-0.423,-0.48554
97.50742,-0.36592,-0.42219,-0.4843
97.71748,-0.36547,-0.42128,-0.48297
97.9257,-0.36507,-0.4204,-0.48169
98.13449,-0.36467,-0.41947,-0.48036
98.34101,-0.36426,-0.41858,-0.47903
98.54782,-0.3638,-0.41765,-0.4776
98.75636,-0.36345,-0.41674,-0.47633
98.96388,-0.36306,-0.4158,-0.47493
99.17373,-0.36268,-0.41485,-0.47351
99.38217,-0.36228,-0.41388,-0.47199
99.58971,-0.36191,-0.41295,-0.47048
