Temp,scan1(subtrac buffer),scan2,scan3
57.11609,-0.01916,-0.03335,-0.03901
57.32419,-0.01771,-0.02851,-0.02762
57.53344,-0.01615,-0.02321,-0.01601
57.7371,-0.01431,-0.01753,-0.00451
57.94384,-0.0123,-0.01161,0.00631
58.15158,-0.01018,-0.00568,0.01572
58.35834,-0.00804,5.00E-05,0.02309
58.56529,-0.00589,0.00508,0.02773
58.77366,-0.0038,0.00905,0.02923
58.98223,-0.00203,0.01172,0.0274
59.19219,-0.00075,0.01276,0.02236
59.40087,0.00011,0.01194,0.0142
59.61011,0.00031,0.00933,0.00363
59.82011,-0.00025,0.00521,-0.00841
60.02938,-0.00141,-0.00019,-0.02111
60.2381,-0.0031,-0.00645,-0.0335
60.44625,-0.00522,-0.01292,-0.04482
60.65512,-0.00746,-0.01923,-0.05458
60.86608,-0.00973,-0.0249,-0.06236
61.07589,-0.01184,-0.02957,-0.06804
61.28488,-0.01351,-0.03323,-0.07167
61.49096,-0.01483,-0.03571,-0.07345
61.69963,-0.0157,-0.03716,-0.07365
61.9092,-0.01615,-0.0377,-0.07261
62.11733,-0.0163,-0.0374,-0.07057
62.32479,-0.01604,-0.0366,-0.06779
62.53464,-0.0156,-0.03529,-0.06441
62.74197,-0.01496,-0.03368,-0.0606
62.95089,-0.01423,-0.03169,-0.05637
63.16022,-0.01335,-0.02955,-0.05186
63.36844,-0.01241,-0.0272,-0.04702
63.57632,-0.01145,-0.02473,-0.04196
63.78502,-0.01042,-0.02215,-0.0366
63.99327,-0.00936,-0.01941,-0.03111
64.20369,-0.00824,-0.01663,-0.02536
64.41352,-0.00712,-0.01372,-0.01938
64.62289,-0.00601,-0.01074,-0.0132
64.83008,-0.00491,-0.00772,-0.00691
65.0381,-0.00382,-0.00467,-0.00051
65.24739,-0.00267,-0.00158,0.00591
65.45642,-0.00164,0.00149,0.01229
65.66076,-0.0006,0.00449,0.01857
65.86929,0.00035,0.00738,0.02473
66.07889,0.00124,0.01011,0.03063
66.28496,0.00206,0.01265,0.03611
66.4936,0.00273,0.01507,0.04109
66.70153,0.00329,0.01714,0.04549
66.91043,0.00366,0.01895,0.04917
67.12057,0.00397,0.02036,0.05213
67.33006,0.00414,0.02135,0.05427
67.53944,0.00424,0.02199,0.05565
67.7487,0.00422,0.02229,0.05629
67.95574,0.00416,0.02223,0.05623
68.1629,0.00399,0.02189,0.05559
68.3718,0.00373,0.02134,0.05442
68.58164,0.00343,0.02063,0.053
68.79223,0.00313,0.01987,0.05136
68.99965,0.00291,0.01907,0.04966
69.20832,0.00265,0.01825,0.048
69.41591,0.00246,0.01755,0.04647
69.62086,0.00232,0.01694,0.04516
69.83023,0.00221,0.01646,0.0441
70.03819,0.00216,0.01612,0.04339
70.24718,0.00217,0.01591,0.04296
70.45607,0.00223,0.01589,0.04282
70.66622,0.00234,0.01598,0.04299
70.87605,0.00245,0.01618,0.04332
71.0838,0.00255,0.01646,0.04388
71.29202,0.00266,0.01678,0.04457
71.50056,0.00281,0.0171,0.04527
71.70744,0.00287,0.01744,0.04589
71.91577,0.00292,0.01773,0.0464
72.1239,0.00292,0.01795,0.0467
72.33336,0.00287,0.01805,0.04677
72.54216,0.00276,0.01803,0.04658
72.75036,0.00255,0.01781,0.04602
72.95946,0.00229,0.0174,0.04503
73.16911,0.00195,0.01677,0.04366
73.37478,0.00153,0.01595,0.04187
73.57914,0.00103,0.01487,0.03961
73.78897,0.00047,0.01355,0.03682
73.99742,-0.00019,0.01195,0.03354
74.20522,-0.00092,0.01021,0.02981
74.41456,-0.00172,0.00828,0.0257
74.62242,-0.00253,0.00616,0.02124
74.83113,-0.00337,0.00391,0.01648
75.04023,-0.00422,0.00155,0.01155
75.24826,-0.00506,-0.00086,0.00645
75.4573,-0.00593,-0.00332,0.00131
75.66487,-0.00677,-0.00577,-0.00379
75.87477,-0.00758,-0.00816,-0.00885
76.08316,-0.00829,-0.01046,-0.01376
